PMID,Title,Abstract,Sentence,Common Words in Vocabulary 1
33767116,prenatal exposure to mixtures of persistent endocrinedisrupting chemicals and birth size in a populationbased cohort of british girls,previous studies of endocrinedisrupting chemicals have examined one of these chemicals at a time in association with an outcome studying mixtures better approximates human experience we investigated the association of prenatal exposure to mixtures of persistent endocrine disruptors perfluoroalkyl and polyfluoroalkyl substances pfas polychlorinated biphenyls pcbs and organochlorine pesticides with birth size among female offspring in the avon longitudinal study of parents and children alspac based in the united kingdom in 19911992 we quantified concentrations of 52 endocrinedisrupting chemicals in maternal serum collected during pregnancy at median 15week gestation birth weight crowntoheel length and head circumference were measured at birth ponderal index and small for gestational age were calculated from these we used repeated holdout weighted quantile sum wqs regression and bayesian kernel machine regression to examine mixtures in 313 mothers using wqs regression all mixtures each chemical class separately and all three together were inversely associated with birth weight a oneunit increase in wqs index a onedecile increase in chemical concentrations for all three classes combined was associated with 55 g β  55 g 95 confidence interval ci  89 22 g lower birth weight associations were weaker but still inverse using bayesian kernel machine regression under both methods pfas were the most important contributors to the association with birth weight we also observed inverse associations for crowntoheel length these results are consistent with the hypothesis that prenatal exposure to mixtures of persistent endocrinedisrupting chemicals affects birth size,previous studies of endocrinedisrupting chemicals have examined one of these chemicals at a time in association with an outcome studying mixtures better approximates human experience we investigated the association of prenatal exposure to mixtures of persistent endocrine disruptors perfluoroalkyl and polyfluoroalkyl substances pfas polychlorinated biphenyls pcbs and organochlorine pesticides with birth size among female offspring in the avon longitudinal study of parents and children alspac based in the united kingdom in 19911992 we quantified concentrations of 52 endocrinedisrupting chemicals in maternal serum collected during pregnancy at median 15week gestation birth weight crowntoheel length and head circumference were measured at birth ponderal index and small for gestational age were calculated from these we used repeated holdout weighted quantile sum wqs regression and bayesian kernel machine regression to examine mixtures in 313 mothers using wqs regression all mixtures each chemical class separately and all three together were inversely associated with birth weight a oneunit increase in wqs index a onedecile increase in chemical concentrations for all three classes combined was associated with 55 g β  55 g 95 confidence interval ci  89 22 g lower birth weight associations were weaker but still inverse using bayesian kernel machine regression under both methods pfas were the most important contributors to the association with birth weight we also observed inverse associations for crowntoheel length these results are consistent with the hypothesis that prenatal exposure to mixtures of persistent endocrinedisrupting chemicals affects birth size,"associated(ACTIVITY), associated(ACTIVITY)"
33754148,urinary phthalate biomarkers and bone mineral density in postmenopausal women,phthalates are endocrinedisrupting chemicals that could disrupt normal physiologic function triggering detrimental impacts on bone we evaluated associations between urinary phthalate biomarkers and bmd in postmenopausal women participating in the prospective womens health initiative whi we included whi participants enrolled in the bmd substudy and selected for a nested casecontrol study of phthalates and breast cancer n  1255 we measured 13 phthalate biomarkers and creatinine in 2 to 3 urine samples per participant collected over 3 years when all participants were cancer free total hip and femoral neck bmd were measured at baseline and year 3 concurrent with urine collection via dualenergy xray absorptiometry we fit multivariable generalized estimating equation models and linear mixedeffects models to estimate crosssectional and longitudinal associations respectively with stratification on postmenopausal hormone therapy ht use in crosssectional analyses mono3carboxypropyl phthalate and the sum of diisobutyl phthalate metabolites were inversely associated with total hip bmd among ht nonusers but not among ht users longitudinal analyses showed greater declines in total hip bmd among ht nonusers and with highest concentrations of mono3carboxyoctyl phthalate 180 95 ci 281 to 078 or monocarboxynonyl phthalate 184 95 ci 280 to 089 similar associations were observed with femoral neck bmd among ht users phthalate biomarkers were not associated with total hip or femoral neck bmd change certain phthalate biomarkers are associated with greater percentage decreases in total hip and femoral neck bmd these findings suggest that phthalate exposure may have clinically important effects on bmd and potentially fracture risk,phthalates are endocrinedisrupting chemicals that could disrupt normal physiologic function triggering detrimental impacts on bone we evaluated associations between urinary phthalate biomarkers and bmd in postmenopausal women participating in the prospective womens health initiative whi we included whi participants enrolled in the bmd substudy and selected for a nested casecontrol study of phthalates and breast cancer n  1255 we measured 13 phthalate biomarkers and creatinine in 2 to 3 urine samples per participant collected over 3 years when all participants were cancer free total hip and femoral neck bmd were measured at baseline and year 3 concurrent with urine collection via dualenergy xray absorptiometry we fit multivariable generalized estimating equation models and linear mixedeffects models to estimate crosssectional and longitudinal associations respectively with stratification on postmenopausal hormone therapy ht use in crosssectional analyses mono3carboxypropyl phthalate and the sum of diisobutyl phthalate metabolites were inversely associated with total hip bmd among ht nonusers but not among ht users longitudinal analyses showed greater declines in total hip bmd among ht nonusers and with highest concentrations of mono3carboxyoctyl phthalate 180 95 ci 281 to 078 or monocarboxynonyl phthalate 184 95 ci 280 to 089 similar associations were observed with femoral neck bmd among ht users phthalate biomarkers were not associated with total hip or femoral neck bmd change certain phthalate biomarkers are associated with greater percentage decreases in total hip and femoral neck bmd these findings suggest that phthalate exposure may have clinically important effects on bmd and potentially fracture risk,"disrupt(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY)"
33749218,bisphenol a exposure in exclusively breastfed infants and lactating women an observational crosssectional study,bisphenol a bpa is a known endocrine disruptor and free bpa will interact with estrogen bpa is also fat soluble and will therefore contaminate breast milk the european food safety authority has set a limit for temporary tolerable daily intake of 4 μgkg body weightday in breastfeeding infants the aim of this study was to measure human milk bpa concentrations in turkish women and thus exclusively breastfed infants exposure to bpa healthy postnatal exclusively breastfeeding women were recruited and breast milk samples were collected free bpa concentration was analyzed in the milk samples using competitive enzymelinked immunosorbent assay participants demographic characteristics and nutritional habits were investigated through facetoface interviews using a detailed questionnaire eighty women participated median milk free bpa level was 063 μgl there was no statistically significant association between maternal body mass index birth type parity infant birth week infant birth weight and human milk bpa concentration nevertheless there was a significant association between human milk bpa level and consumption of fastfood and carbonated drinks p0022 and p0018 respectively exclusively breastfed infants mean bpa exposure was 0009900079 μgkg bwday there was a moderate negative significant correlation between infant bpa exposure and infant current body weight r0327 p0003 bpa exposure in exclusively breastfed infants was within accepted limits and the current dietary exposure level of infants in this cohort was safe,bisphenol a bpa is a known endocrine disruptor and free bpa will interact with estrogen bpa is also fat soluble and will therefore contaminate breast milk the european food safety authority has set a limit for temporary tolerable daily intake of 4 μgkg body weightday in breastfeeding infants the aim of this study was to measure human milk bpa concentrations in turkish women and thus exclusively breastfed infants exposure to bpa healthy postnatal exclusively breastfeeding women were recruited and breast milk samples were collected free bpa concentration was analyzed in the milk samples using competitive enzymelinked immunosorbent assay participants demographic characteristics and nutritional habits were investigated through facetoface interviews using a detailed questionnaire eighty women participated median milk free bpa level was 063 μgl there was no statistically significant association between maternal body mass index birth type parity infant birth week infant birth weight and human milk bpa concentration nevertheless there was a significant association between human milk bpa level and consumption of fastfood and carbonated drinks p0022 and p0018 respectively exclusively breastfed infants mean bpa exposure was 0009900079 μgkg bwday there was a moderate negative significant correlation between infant bpa exposure and infant current body weight r0327 p0003 bpa exposure in exclusively breastfed infants was within accepted limits and the current dietary exposure level of infants in this cohort was safe,interact(ACTIVITY)
33718320,exposure to phenols phthalates and parabens and development of metabolic syndrome among mexican women in midlife,background evidence suggests exposure to endocrinedisrupting chemicals edcs can influence metabolic syndrome mets risk in adults but it is unclear if edcs impact women during midlife we examined if edcs measured in adult women were predictive of mets and its components 9 years later methods we measured urinary phthalate metabolites phenols and parabens collected in 2008 among 73 females from the element study mets and its components abdominal obesity hypertriglyceridemia cholesterolemia hypertension and hyperglycemia were assessed in 2017 we regressed logtransformed edc concentrations on mets and mets components using logistic regression adjusting for age and physical activity results at followup the mean sd age was 466 63 years the prevalence of mets was 343 sum of dibutyl phthalate metabolites σdbp monobenzyl phthalate mbzp and monoethyl phthalate mep were associated with an increased odds of hypertriglyceridemia 25dichlorophenol 25 dcp and 24dichlorophenol 24 dcp were associated with increased odds of hypertriglyceridemia the odds of hypertension were 418 95 ci 098 177 p  010 and 377 95 ci 076 1862 p  010 times higher for every iqr increase in mcop and propyl paraben respectively the odds of hyperglycemia were 046 95 ci 018 117 p  010 times lower for every iqr increase in the sum of di2ethylhexyl phthalate metabolites σdehp and the odds of abdominal obesity were 070 95 ci 040 121 p  010 lower for every iqr increase in the concentration of triclosan conclusion we found edcs measured in 2008 were marginally predictive of hypertriglyceridemia and hypertension 9 years later results suggest that lower exposure to certain toxicants was related to lower markers of metabolic risk among midlife women,background evidence suggests exposure to endocrinedisrupting chemicals edcs can influence metabolic syndrome mets risk in adults but it is unclear if edcs impact women during midlife we examined if edcs measured in adult women were predictive of mets and its components 9 years later methods we measured urinary phthalate metabolites phenols and parabens collected in 2008 among 73 females from the element study mets and its components abdominal obesity hypertriglyceridemia cholesterolemia hypertension and hyperglycemia were assessed in 2017 we regressed logtransformed edc concentrations on mets and mets components using logistic regression adjusting for age and physical activity results at followup the mean sd age was 466 63 years the prevalence of mets was 343 sum of dibutyl phthalate metabolites σdbp monobenzyl phthalate mbzp and monoethyl phthalate mep were associated with an increased odds of hypertriglyceridemia 25dichlorophenol 25 dcp and 24dichlorophenol 24 dcp were associated with increased odds of hypertriglyceridemia the odds of hypertension were 418 95 ci 098 177 p  010 and 377 95 ci 076 1862 p  010 times higher for every iqr increase in mcop and propyl paraben respectively the odds of hyperglycemia were 046 95 ci 018 117 p  010 times lower for every iqr increase in the sum of di2ethylhexyl phthalate metabolites σdehp and the odds of abdominal obesity were 070 95 ci 040 121 p  010 lower for every iqr increase in the concentration of triclosan conclusion we found edcs measured in 2008 were marginally predictive of hypertriglyceridemia and hypertension 9 years later results suggest that lower exposure to certain toxicants was related to lower markers of metabolic risk among midlife women,"influence(ACTIVITY), associated(ACTIVITY), increased(ACTIVITY), associated(ACTIVITY), increased(ACTIVITY)"
33712018,prenatal exposure to bisphenol a and autistic and adhdrelated symptoms in children aged 2 and5 years from the odense child cohort,bisphenol a bpa is a nonpersistent chemical with endocrine disrupting abilities used in a variety of consumer products fetal exposure to bpa is of concern due to the elevated sensitivity which particularly relates to the developing brain several epidemiological studies have investigated the association between prenatal bpa exposure and neurodevelopment but the results have been inconclusive to assess the association between in utero exposure to bpa and attention deficithyperactivity disorder adhd symptoms and symptoms of autism spectrum disorder asd in 2 and 5year old danish children in the prospective odense child cohort bpa was measured in urine samples collected in gestational week 28 and adjusted for osmolality adhd and asd symptoms were assessed with the use of the adhd scale and asd scale respectively derived from the child behaviour checklist preschool version cbcl1½5 at ages 2 and 5 years negative binomial and multiple logistic regression analyses were performed to investigate the association between maternal bpa exposure continuous lntransformed or divided into tertiles and the relative differences in adhd and asd problem scores and the odds or of an adhd and autism score above the 75th percentile adjusting for maternal educational level maternal age prepregnancy bmi parity and child age at evaluation in 658 motherchild pairs at 2 years of age for asdscore and 427 motherchild pairs at 5 years of age for adhd and asdscore bpa was detected in 853 of maternal urine samples even though the exposure level was low median 12 ngml no associations between maternal bpa exposure and asd at age 2 years or adhd at age 5 years were found trends of elevated odds ratios ors were seen among 5 year old children within the 3rd tertile of bpa exposure with an asdscore above the 75th percentile or  180 95 ci 097332 being stronger for girls or  317 95 ci 185928 a doseresponse relationship was observed between bpa exposure and asdscore at 5 years of age ptrend 006 in both boys and girls but only significant in girls ptrend 003 our findings suggest that prenatal bpa exposure even in low concentrations may increase the risk of asd symptoms which may predict later social abilities it is therefore important to followup these children at older ages measure their own bpa exposure and determine if the observed associations persist,bisphenol a bpa is a nonpersistent chemical with endocrine disrupting abilities used in a variety of consumer products fetal exposure to bpa is of concern due to the elevated sensitivity which particularly relates to the developing brain several epidemiological studies have investigated the association between prenatal bpa exposure and neurodevelopment but the results have been inconclusive to assess the association between in utero exposure to bpa and attention deficithyperactivity disorder adhd symptoms and symptoms of autism spectrum disorder asd in 2 and 5year old danish children in the prospective odense child cohort bpa was measured in urine samples collected in gestational week 28 and adjusted for osmolality adhd and asd symptoms were assessed with the use of the adhd scale and asd scale respectively derived from the child behaviour checklist preschool version cbcl1½5 at ages 2 and 5 years negative binomial and multiple logistic regression analyses were performed to investigate the association between maternal bpa exposure continuous lntransformed or divided into tertiles and the relative differences in adhd and asd problem scores and the odds or of an adhd and autism score above the 75th percentile adjusting for maternal educational level maternal age prepregnancy bmi parity and child age at evaluation in 658 motherchild pairs at 2 years of age for asdscore and 427 motherchild pairs at 5 years of age for adhd and asdscore bpa was detected in 853 of maternal urine samples even though the exposure level was low median 12 ngml no associations between maternal bpa exposure and asd at age 2 years or adhd at age 5 years were found trends of elevated odds ratios ors were seen among 5 year old children within the 3rd tertile of bpa exposure with an asdscore above the 75th percentile or  180 95 ci 097332 being stronger for girls or  317 95 ci 185928 a doseresponse relationship was observed between bpa exposure and asdscore at 5 years of age ptrend 006 in both boys and girls but only significant in girls ptrend 003 our findings suggest that prenatal bpa exposure even in low concentrations may increase the risk of asd symptoms which may predict later social abilities it is therefore important to followup these children at older ages measure their own bpa exposure and determine if the observed associations persist,"elevated(ACTIVITY), adjusted(ACTIVITY), elevated(ACTIVITY)"
33711537,prenatal exposure to persistent organic pollutants and markers of obesity and cardiometabolic risk in spanish adolescents,prenatal exposure to persistent organic pollutants pops has been linked to cardiometabolic cm risk factors in childhood but there are no studies evaluating the persistence of these associations into adolescence a period of relevant changes in endocrinedependent organ systems and rapid increases in lean and fat mass we examined the associations of prenatal pop exposures with body mass index bmi from age 4 to 18 years and with other cm risk markers in adolescence we analysed 379 children from the spanish inmamenorca birth cohort study with measured cord blood pop concentrations we calculated bmi zscores at ages 4 6 11 14 and 18 years using the who growth reference body fat  was measured at 11 and 18 years and waisttoheight ratio whtr and blood pressure bp at 11 14 and 18 years we measured cm biomarkers in fasting blood collected at age 14 years and calculated a cmrisk score as the sum of the sex and agespecific zscores for waist circumference mean arterial bp homeostatic model assessment of insulin resistance fasting blood triglycerides and highdensity lipoprotein cholesterol hdlc n  217 generalised estimating equations and multivariate linear regression models assessed the associations with repeated and single timepoint measures respectively hexachlorobenzene hcb exposure in the third tertile compared to the first tertile was associated with higher bmi β  024 95 ci 001 047 and whtr zscore β  027 95 ci 004 051 a continuous increase in hcb was associated with an elevated body fat  β per 10fold increase  421 95 ci 051 792 systolic bp β  032 95 ci 002 064 and diastolic bp zscore β  032 95 ci 002 062 across all ages and with higher cmrisk score β  159 95 ci 002 318 and lipid biomarkers total cholesterol triglycerides and lowdensity lipoprotein cholesterol ldlc at 14 years dichlorodiphenyltrichloroethane ppddt exposure was nonmonotonically associated with bmi and systolic bp ppdde and σpolychlorinated biphenyls pcbs sum of congeners 118 138 153 180 were not associated with adiposity or bp ppddt exposure was associated with an increased cmrisk score and σpcbs concentrations with ldlc in all adolescents and with total cholesterol only in girls psex interaction  005 this first longitudinal study from 4 to 18 years suggests that the previously reported pop associations with child bmi persist later in adolescence and that prenatal pop exposures are associated with major risk factors for adult cm syndrome,prenatal exposure to persistent organic pollutants pops has been linked to cardiometabolic cm risk factors in childhood but there are no studies evaluating the persistence of these associations into adolescence a period of relevant changes in endocrinedependent organ systems and rapid increases in lean and fat mass we examined the associations of prenatal pop exposures with body mass index bmi from age 4 to 18 years and with other cm risk markers in adolescence we analysed 379 children from the spanish inmamenorca birth cohort study with measured cord blood pop concentrations we calculated bmi zscores at ages 4 6 11 14 and 18 years using the who growth reference body fat  was measured at 11 and 18 years and waisttoheight ratio whtr and blood pressure bp at 11 14 and 18 years we measured cm biomarkers in fasting blood collected at age 14 years and calculated a cmrisk score as the sum of the sex and agespecific zscores for waist circumference mean arterial bp homeostatic model assessment of insulin resistance fasting blood triglycerides and highdensity lipoprotein cholesterol hdlc n  217 generalised estimating equations and multivariate linear regression models assessed the associations with repeated and single timepoint measures respectively hexachlorobenzene hcb exposure in the third tertile compared to the first tertile was associated with higher bmi β  024 95 ci 001 047 and whtr zscore β  027 95 ci 004 051 a continuous increase in hcb was associated with an elevated body fat  β per 10fold increase  421 95 ci 051 792 systolic bp β  032 95 ci 002 064 and diastolic bp zscore β  032 95 ci 002 062 across all ages and with higher cmrisk score β  159 95 ci 002 318 and lipid biomarkers total cholesterol triglycerides and lowdensity lipoprotein cholesterol ldlc at 14 years dichlorodiphenyltrichloroethane ppddt exposure was nonmonotonically associated with bmi and systolic bp ppdde and σpolychlorinated biphenyls pcbs sum of congeners 118 138 153 180 were not associated with adiposity or bp ppddt exposure was associated with an increased cmrisk score and σpcbs concentrations with ldlc in all adolescents and with total cholesterol only in girls psex interaction  005 this first longitudinal study from 4 to 18 years suggests that the previously reported pop associations with child bmi persist later in adolescence and that prenatal pop exposures are associated with major risk factors for adult cm syndrome,"associated(ACTIVITY), associated(ACTIVITY), elevated(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY), increased(ACTIVITY), associated(ACTIVITY)"
33673219,prenatal exposure to mixtures of phthalates parabens and other phenols and obesity in fiveyearolds in the chamacos cohort,exposures to phthalates parabens and other phenols are often correlated due to their ubiquitous use in personal care products and plastics examining these compounds as a complex mixture may clarify inconsistent relationships between individual chemicals and childhood adiposity using data from the center for the health assessment of mothers and children of salinas chamacos study a longitudinal cohort of children in salinas valley california n  309 we examined biomarkers of 11 phthalate metabolites and 9 phenols including several parabens and bisphenol a measured in maternal urine at two time points during pregnancy we measured child height and weight at age five to calculate the body mass index bmi zscores and overweightobesity status the association between prenatal urinary concentrations of biomarkers with the childhood bmi zscore and overweightobesity status was analyzed using singlepollutant models and two mixture methods bayesian hierarchical modeling bmh and bayesian kernel machine regression bkmr urinary concentrations of monoethyl phthalate monocarboxyisononly phthalate metabolites of diethyl phthalate and diisodecyl phthalate respectively and propylparaben were consistently associated with an increased bmi zscore and overweightobesity status across all modeling approaches higher prenatal exposures to the cumulative biomarker mixture also trended with greater childhood adiposity these results robust across two methods that control for copollutant confounding suggest that prenatal exposure to certain phthalates and parabens may increase the risk for obesity in early childhood,exposures to phthalates parabens and other phenols are often correlated due to their ubiquitous use in personal care products and plastics examining these compounds as a complex mixture may clarify inconsistent relationships between individual chemicals and childhood adiposity using data from the center for the health assessment of mothers and children of salinas chamacos study a longitudinal cohort of children in salinas valley california n  309 we examined biomarkers of 11 phthalate metabolites and 9 phenols including several parabens and bisphenol a measured in maternal urine at two time points during pregnancy we measured child height and weight at age five to calculate the body mass index bmi zscores and overweightobesity status the association between prenatal urinary concentrations of biomarkers with the childhood bmi zscore and overweightobesity status was analyzed using singlepollutant models and two mixture methods bayesian hierarchical modeling bmh and bayesian kernel machine regression bkmr urinary concentrations of monoethyl phthalate monocarboxyisononly phthalate metabolites of diethyl phthalate and diisodecyl phthalate respectively and propylparaben were consistently associated with an increased bmi zscore and overweightobesity status across all modeling approaches higher prenatal exposures to the cumulative biomarker mixture also trended with greater childhood adiposity these results robust across two methods that control for copollutant confounding suggest that prenatal exposure to certain phthalates and parabens may increase the risk for obesity in early childhood,"associated(ACTIVITY), increased(ACTIVITY)"
33672423,bpa and bps affect connexin 37 in bovine cumulus cells,bisphenol s bps is used as an alternative plasticizer to bisphenol a bpa despite limited knowledge of potential adverse effects bpa exhibits endocrine disrupting effects during development this article focuses on the impact of bisphenols during oocyte maturation connexins cx are gap junctional proteins that may be affected by bisphenols providing insight into their mechanism during development cxs 37 and 43 are crucial in facilitating cell communication between cumulus cells and oocytes cumulusoocyte complexes cocs denuded oocytes and cumulus cells were exposed to 005 mgml bpa or bps for 24 h both compounds had no effect on cx43 cumulus cells exhibited a significant increase in cx37 expression following bpa p  0001 and bps p  0017 exposure cocs treated with bpa had increased cx37 protein expression whilst bps showed no effects suggesting bpa and bps act through different mechanisms experiments conducted in in vitro cultured cumulus cells obtained by stripping germinal vesicle oocytes showed significantly increased expression of cx37 in bpa but not the bps treated group bpa significantly increased cx37 protein expression while bps did not disrupted cx37 following bpa exposure provides an indication of possible effects of bisphenols on connexins during the early stages of development,bisphenol s bps is used as an alternative plasticizer to bisphenol a bpa despite limited knowledge of potential adverse effects bpa exhibits endocrine disrupting effects during development this article focuses on the impact of bisphenols during oocyte maturation connexins cx are gap junctional proteins that may be affected by bisphenols providing insight into their mechanism during development cxs 37 and 43 are crucial in facilitating cell communication between cumulus cells and oocytes cumulusoocyte complexes cocs denuded oocytes and cumulus cells were exposed to 005 mgml bpa or bps for 24 h both compounds had no effect on cx43 cumulus cells exhibited a significant increase in cx37 expression following bpa p  0001 and bps p  0017 exposure cocs treated with bpa had increased cx37 protein expression whilst bps showed no effects suggesting bpa and bps act through different mechanisms experiments conducted in in vitro cultured cumulus cells obtained by stripping germinal vesicle oocytes showed significantly increased expression of cx37 in bpa but not the bps treated group bpa significantly increased cx37 protein expression while bps did not disrupted cx37 following bpa exposure provides an indication of possible effects of bisphenols on connexins during the early stages of development,"affected(ACTIVITY), increased(ACTIVITY), increased(ACTIVITY), increased(ACTIVITY), disrupted(ACTIVITY)"
33672279,maternal food and beverage consumption behaviors and discrepant phthalate exposure by race,background differential exposure to endocrinedisrupting chemicals including phthalate diesters may contribute to persistent racialethnic disparities in womens reproductive health outcomes we sought to characterize sources of gestational exposure to these agents that may differ according to maternal race methods we enrolled pregnant black n  198 including african american and white n  197 women during the second trimester and measured eight phthalate monoester metabolites in urine we assessed confounderadjusted associations between multiple food and beverage consumption habits summarized using a principal component analysis as predictors of maternal urinary phthalate metabolite levels stratified by race results whites reported significantly greater unprocessed food consumption 425 vs 320 p  0001 and storage of food in clear unbreakable plastic containers 665 vs 493 p  0001 than blacks while blacks consumed more canned fruits and vegetables 235 vs 122 p  0001 than whites using plastics for food storage microwaving in plastic containers and using hard plastic water bottles was associated with urinary phthalate concentrations especially dehp metabolites eg mean difference  513 95 ci 305 725 these associations were driven primarily by black pregnant women conclusions targeted interventions to reduce maternal exposure to phthalates need to be designed with specific attention to differences in food and beverage consumption behaviors among black and white women,background differential exposure to endocrinedisrupting chemicals including phthalate diesters may contribute to persistent racialethnic disparities in womens reproductive health outcomes we sought to characterize sources of gestational exposure to these agents that may differ according to maternal race methods we enrolled pregnant black n  198 including african american and white n  197 women during the second trimester and measured eight phthalate monoester metabolites in urine we assessed confounderadjusted associations between multiple food and beverage consumption habits summarized using a principal component analysis as predictors of maternal urinary phthalate metabolite levels stratified by race results whites reported significantly greater unprocessed food consumption 425 vs 320 p  0001 and storage of food in clear unbreakable plastic containers 665 vs 493 p  0001 than blacks while blacks consumed more canned fruits and vegetables 235 vs 122 p  0001 than whites using plastics for food storage microwaving in plastic containers and using hard plastic water bottles was associated with urinary phthalate concentrations especially dehp metabolites eg mean difference  513 95 ci 305 725 these associations were driven primarily by black pregnant women conclusions targeted interventions to reduce maternal exposure to phthalates need to be designed with specific attention to differences in food and beverage consumption behaviors among black and white women,"associated(ACTIVITY), reduce(ACTIVITY)"
33670352,bisphenol a exposure changes the transcriptomic and proteomic dynamics of human retinoblastoma y79 cells,bisphenol a bpa is a xenoestrogen chemical commonly used to manufacture polycarbonate plastics and epoxy resin and might affect various human organs however the cellular effects of bpa on the eyes have not been widely investigated this study aimed to investigate the cellular cytotoxicity by bpa exposure on human retinoblastoma cells bpa did not show cytotoxic effects such as apoptosis alterations to cell viability and cell cycle regulation comparative analysis of the transcriptome and proteome profiles were investigated after longterm exposure of y79 cells to low doses of bpa transcriptome analysis using rnaseq revealed that mrna expression of the posttranscriptional regulationassociated gene sets was significantly upregulated in the bpatreated group cell cycle regulationassociated gene sets were significantly downregulated by exposure to bpa interestingly rnaseq analysis at the transcript level indicated that alternative splicing events particularly retained introns were noticeably altered by lowdose bpa treatment additionally proteome profiling using malditofms identified a total of nine differentially expressed proteins these results suggest that alternative splicing events and altered geneprotein expression patterns are critical phenomena affected by longterm lowdose bpa exposure this represents a novel marker for the detection of various diseases associated with environmental pollutants such as bpa,bisphenol a bpa is a xenoestrogen chemical commonly used to manufacture polycarbonate plastics and epoxy resin and might affect various human organs however the cellular effects of bpa on the eyes have not been widely investigated this study aimed to investigate the cellular cytotoxicity by bpa exposure on human retinoblastoma cells bpa did not show cytotoxic effects such as apoptosis alterations to cell viability and cell cycle regulation comparative analysis of the transcriptome and proteome profiles were investigated after longterm exposure of y79 cells to low doses of bpa transcriptome analysis using rnaseq revealed that mrna expression of the posttranscriptional regulationassociated gene sets was significantly upregulated in the bpatreated group cell cycle regulationassociated gene sets were significantly downregulated by exposure to bpa interestingly rnaseq analysis at the transcript level indicated that alternative splicing events particularly retained introns were noticeably altered by lowdose bpa treatment additionally proteome profiling using malditofms identified a total of nine differentially expressed proteins these results suggest that alternative splicing events and altered geneprotein expression patterns are critical phenomena affected by longterm lowdose bpa exposure this represents a novel marker for the detection of various diseases associated with environmental pollutants such as bpa,"affect(ACTIVITY), altered(ACTIVITY), altered(ACTIVITY), affected(ACTIVITY), associated(ACTIVITY)"
33665751,evaluation of the oestrogenic potential of oestrone and bisphenola on the reproduction of astyanax bimaculatus males after subacute exposure,in the last decades oestrogenic compounds have often been reported in environmentally relevant concentrations in aquatic environments around the world most laboratory studies of oestrogens try to understand the effects of a single contaminant but in natural environments the effects may be quite different due to interactions with other compounds the present study aimed to compare the action of oestrone e1 and bisphenola bpa acting singularly and in combination on the spermatogenesis of astyanax bimaculatus after exposure to 100 ngl of e1 bpa and a mixture of the two for 15 days our results showed that e1 and the e1  bpa mixture significantly altered the number of spermatogenic cells bpa presented high cytotoxicity when compared to other treatments analysis of the two oestrogenic compounds suggests that the e1  bpa mixture has no additive or synergistic effects together the results of the present study indicate that endocrinedisrupting chemicals edcs analysed alone may behave differently than when administered with other substances,in the last decades oestrogenic compounds have often been reported in environmentally relevant concentrations in aquatic environments around the world most laboratory studies of oestrogens try to understand the effects of a single contaminant but in natural environments the effects may be quite different due to interactions with other compounds the present study aimed to compare the action of oestrone e1 and bisphenola bpa acting singularly and in combination on the spermatogenesis of astyanax bimaculatus after exposure to 100 ngl of e1 bpa and a mixture of the two for 15 days our results showed that e1 and the e1  bpa mixture significantly altered the number of spermatogenic cells bpa presented high cytotoxicity when compared to other treatments analysis of the two oestrogenic compounds suggests that the e1  bpa mixture has no additive or synergistic effects together the results of the present study indicate that endocrinedisrupting chemicals edcs analysed alone may behave differently than when administered with other substances,altered(ACTIVITY)
